"EMPLOYEE_ID","GENDER","EMAIL_ADDRESS","COUNTRY","PHONE_NUMBER","SALARY_AMOUNT","FIRST_NAME","MIDDLE_NAME","LAST_NAME","EMPLOYEE_PIC_URL","LATITUDE","LONGITUDE","BUILDING","CITY","CURRENCY_CODE","POSTAL_CODE","STREET","TITLE_URL"
"400000010","Male","john.nicols@itelo.info","United Kingdom","+44 2089 176581","61579","John","","Nicols","/sap/public/bc/NWDEMO_MODEL/IMAGES/male_7_NicolsJ.jpg","51.4903017","0.1210995","24","London","USD","EC1Y8SY","Wilton Road","http://maps.google.com/maps?q=Wilton Road%20London%20GB%20EC1Y8SY"
"400000011","Male","john.smith@itelo.info","United Kingdom","+44 2089 176308","60350","John","","Smith","/sap/public/bc/NWDEMO_MODEL/IMAGES/male_3_SmithJo.jpg","51.487773","-0.1667456","18","London","USD","EC1Y8SY","Flood Street","http://maps.google.com/maps?q=Flood Street%20London%20GB%20EC1Y8SY"
"400000012","Female","joanne.rush@itelo.info","Germany","+49 351 58116224","70000","Joanne","","Rush","/sap/public/bc/NWDEMO_MODEL/IMAGES/female_1_RushJ.jpg","52.4602438","13.2855003","28","Berlin","USD","10001","Drosselweg","http://maps.google.com/maps?q=Drosselweg%20Berlin%20DE%2010001"
"400000013","Female","sue.bay@itelo.info","USA","+1 224 374525","98631","Sue","","Bay","/sap/public/bc/NWDEMO_MODEL/IMAGES/female_6_BaySu.jpg","37.8857336","-122.252391","15","San Francisco","USD","94101","Queens Boulevard","http://maps.google.com/maps?q=Queens Boulevard%20San Francisco%20US%2094101"
"400000014","Male","james.field@itelo.info","United Kingdom","+1 224 374526","76395","James","","Field","/sap/public/bc/NWDEMO_MODEL/IMAGES/male_5_FieldJ.jpg","51.4886937","-0.145292","38","London","USD","EC1Y 8SY","Claredon Street","http://maps.google.com/maps?q=Claredon Street%20London%20GB%20EC1Y 8SY"
"400000015","Male","hermann.hecker@itelo.info","Germany","+44 2089 178070","39874","Hermann","","Hecker","/sap/public/bc/NWDEMO_MODEL/IMAGES/male_16_HeckerH.jpg","52.433659","13.220593","22","Berlin","USD","14129","Eiderstedterweg","http://maps.google.com/maps?q=Eiderstedterweg%20Berlin%20DE%2014129"
"400000016","Male","rudolf.platte@itelo.info","Germany","+49 304 1092539","45983","Rudolf","","Platte","/sap/public/bc/NWDEMO_MODEL/IMAGES/male_15_PlatteR.jpg","52.44629","13.25566","23","Berlin","USD","10001","Waldhüterpfad","http://maps.google.com/maps?q=Waldhüterpfad%20Berlin%20DE%2010001"
"400000018","Male","jonathan.east@itelo.info","USA","+1 559 5932183","55427","Jonathan","","East","/sap/public/bc/NWDEMO_MODEL/IMAGES/male_12_EastJ.jpg","37.751236","-122.452133","22","San Francisco","USD","94101","Panorama Drive","http://maps.google.com/maps?q=Panorama Drive%20San Francisco%20US%2094101"
"400000019","Male","james.smith@itelo.info","Germany","+49 6227 770282","38761","James","","Smith","/sap/public/bc/NWDEMO_MODEL/IMAGES/male_14_SmithJ.jpg","52.4972582","13.3469472","33","Berlin","USD","10001","Motzstraße","http://maps.google.com/maps?q=Motzstraße%20Berlin%20DE%2010001"
"400000020","Female","megan.wang@itelo.info","United Kingdom","+44 2089 176782","57985","Megan","","Wang","/sap/public/bc/NWDEMO_MODEL/IMAGES/female_4_WangM.jpg","51.4992712","-0.149872","27","London","USD","EC1Y8SY","Chester Street","http://maps.google.com/maps?q=Chester Street%20London%20GB%20EC1Y8SY"
"400000021","Female","anna.lerch@itelo.info","USA","+1 973 2110509","58768","Anna","","Lerch","/sap/public/bc/NWDEMO_MODEL/IMAGES/female_5_LerchA.jpg","40.6620112","-73.994526","31","New York","USD","10011","21th Street","http://maps.google.com/maps?q=21th Street%20New York%20US%2010011"
"400000022","Male","clark.kent@itelo.info","USA","+1 212 5539574","57000","Clark","","Kent","/sap/public/bc/NWDEMO_MODEL/IMAGES/male_18_KentC.jpg","40.7393498","-73.9851427","29","New York","USD","10011","Lexington Avenue","http://maps.google.com/maps?q=Lexington Avenue%20New York%20US%2010011"
"400000023","Female","catherine.jones@itelo.info","USA","+1 212 7539545","59000","Catherine","","Jones","/sap/public/bc/NWDEMO_MODEL/IMAGES/female_12_JonesC.jpg","41.3029693","-75.3198713","30","New York","USD","10011","387th Street","http://maps.google.com/maps?q=387th Street%20New York%20US%2010011"
"400000024","Male","peter.douglas@itelo.info","USA","+1 812 6539906","1500000","Peter","","Douglas","/sap/public/bc/NWDEMO_MODEL/IMAGES/male_8_DouglasP.jpg","42.4554625","-88.1256739","99","Antioch, Illinois","USD","60002","Grand Avenue","http://maps.google.com/maps?q=Grand Avenue%20Antioch, Illinois%20US%2060002"
"400000025","Male","frank.brown@itelo.info","USA","+1 212 5951134","53021","Frank","","Brown","/sap/public/bc/NWDEMO_MODEL/IMAGES/male_17_BrownF.jpg","40.7288035","-74.000454","32","New York","USD","10011","Bleecker Street","http://maps.google.com/maps?q=Bleecker Street%20New York%20US%2010011"
"400000026","Female","barbara.ingalls@itelo.info","USA","+1 650 4221832","63443","Barbara","","Ingalls","/sap/public/bc/NWDEMO_MODEL/IMAGES/female_3_IngallsB.jpg","37.6896959","-122.4951423","44","San Francisco","USD","94101","Fernwood Avenue","http://maps.google.com/maps?q=Fernwood Avenue%20San Francisco%20US%2094101"
"400000027","Male","peter.fuchs@itelo.info","United Kingdom","+44 1628 661186","71344","Peter","","Fuchs","/sap/public/bc/NWDEMO_MODEL/IMAGES/male_20_FuchsP.jpg","51.4853891","-0.1609901","26","London","USD","EC1Y8SY","Paradise Walk","http://maps.google.com/maps?q=Paradise Walk%20London%20GB%20EC1Y8SY"
"400000028","Female","mary.watson@itelo.info","United Kingdom","+44 0171 184338","64222","Mary","","Watson","/sap/public/bc/NWDEMO_MODEL/IMAGES/female_13_WatsonM.jpg","51.4914611","-0.1408891","35","London","USD","EC1Y8SY","Warwick Square","http://maps.google.com/maps?q=Warwick Square%20London%20GB%20EC1Y8SY"
"400000029","Male","karl.kessler@itelo.info","USA","+1 212 2961879","97455","Karl","","Kessler","/sap/public/bc/NWDEMO_MODEL/IMAGES/male_21_KesslerK.jpg","40.8027582","-73.9405381","43","New York","USD","10011","Park Avenue","http://maps.google.com/maps?q=Park Avenue%20New York%20US%2010011"
"400000030","Female","nora.dwyer@itelo.info","France","+33 14 517-9410","50000","Nora","","Dwyer","/sap/public/bc/NWDEMO_MODEL/IMAGES/female_14_DwyerN.jpg","48.8863787","2.2455331","66","Paris La Défense Cedex","USD","92309","Rue de l'Oasis","http://maps.google.com/maps?q=Rue de l'Oasis%20Paris La Défense Cedex%20FR%2092309"
"400000031","Male","fisher.richard@itelo.info","Germany","+49 30 41012482","67234","Richard","","Fisher","/sap/public/bc/NWDEMO_MODEL/IMAGES/male_25_FisherR.jpg","52.44629","13.25566","34","Berlin","EUR","10001","Waldhüterpfad","http://maps.google.com/maps?q=Waldhüterpfad%20Berlin%20DE%2010001"
"400000032","Female","carol.aranda@itelo.info","France","+49 30 41092482","4457","Carol","","Aranda","/sap/public/bc/NWDEMO_MODEL/IMAGES/female_15_arandaC.jpg","49.29624","8.64724","37","Sainte-Foy-lès-Lyon","EUR","69110","Avenue Valioud","http://maps.google.com/maps?q=Avenue Valioud%20Sainte-Foy-lès-Lyon%20FR%2069110"
"400000033","Female","nam.huik@itelo.info","France","+49 30 41091664","5105","Nam","Hui","Kim","/sap/public/bc/NWDEMO_MODEL/IMAGES/female_16_kimNH.jpg","49.29624","8.64724","133-13","Jongno-gu, Seoul","EUR","110-801","Gye-dong","http://maps.google.com/maps?q=Gye-dong%20Jongno-gu, Seoul%20FR%20110-801"
"400000034","Female","changf@itelo.info","Hong Kong","+49 30 41092275","3605","Felicity","","Chang","/sap/public/bc/NWDEMO_MODEL/IMAGES/female_17_changF.jpg","49.29624","8.64724","5","Hong Kong","EUR","0000","Shepherd St.","http://maps.google.com/maps?q=Shepherd St.%20Hong Kong%20HK%200000"
"400000035","Male","perezcf@itelo.info","Philippines","+49 30 31092271","3166","Crispin","","Perez","/sap/public/bc/NWDEMO_MODEL/IMAGES/male_19_perezC.jpg","49.29624","8.64724","9105","Manila","EUR","1203","Banuyo St., San Antonio Village, Makati City","http://maps.google.com/maps?q=Banuyo St., San Antonio Village, Makati City%20Manila%20PH%201203"
"400000036","Male","kimuray@itelo.info","Japan","+49 30 41082265","3266","Yoshihiro","","Kimura","/sap/public/bc/NWDEMO_MODEL/IMAGES/male_20_kimuraY.jpg","49.29624","8.64724","137","Konan, Shiga Prefecture","EUR","520-3234","4-Chome","http://maps.google.com/maps?q=4-Chome%20Konan, Shiga Prefecture%20JP%20520-3234"
"400000037","Male","ngoc@itelo.info","Vietnam","+49 30 41093387","3266","Christopher","","Ngo","/sap/public/bc/NWDEMO_MODEL/IMAGES/male_22_ngoC.jpg","49.29624","8.64724","26","Hanoi","EUR","100000","Vũ Thạnh","http://maps.google.com/maps?q=Vũ Thạnh%20Hanoi%20VN%20100000"
"400000038","Male","user.epm@itelo.info","Vietnam","+49 30 41093387","3266","EPM","Demo","User","/sap/public/bc/NWDEMO_MODEL/IMAGES/male.jpg","49.29624","8.64724","26","Hanoi","EUR","100000","Vũ Thạnh","http://maps.google.com/maps?q=Vũ Thạnh%20Hanoi%20VN%20100000"
"400000017","Male","al.wallace@itelo.info","USA","+1 310 6615531","55426","Al Bundy","","Wallace","/sap/public/bc/NWDEMO_MODEL/IMAGES/male_13_WallaceA.jpg","37.7298955","-122.4132939","16","San Francisco","USD","94101","Silver Avenue","http://maps.google.com/maps?q=Silver Avenue%20San Francisco%20US%2094101"
